Customer_ID,Age,Location,Income_Level,Total_Transactions,Avg_Transaction_Value,Max_Transaction_Value,Min_Transaction_Value,Total_Spent,Active_Days,Last_Transaction_Days_Ago,Loyalty_Points_Earned,Referral_Count,Cashback_Received,App_Usage_Frequency,Preferred_Payment_Method,Support_Tickets_Raised,Issue_Resolution_Time,Customer_Satisfaction_Score,LTV,Age_Group
cust_0034,57,Rural,High,930,706.97,1176.75,220.6,657481,362,154,2819,27,546.49,Weekly,Debit Card,1,39.17,8,81812,Dewasa (45-65)
cust_0035,43,Urban,Low,254,1820.85,5130.46,280.89,462496,167,170,3124,10,229.25,Weekly,Credit Card,4,40.56,5,58383,Dewasa Muda (25-45)
cust_0036,31,Urban,Low,283,7068.09,13215.81,2961.49,2000270,252,167,3195,27,1123.58,Daily,Credit Card,12,67.92,2,210555,Dewasa Muda (25-45)
cust_0037,30,Rural,Middle,60,133.6,613.74,49.7,8015,263,185,309,31,2437.21,Daily,Wallet Balance,17,68.99,3,6300,Dewasa Muda (25-45)
cust_0038,62,Rural,Low,118,9884.81,21889.43,4035.01,1166407,196,306,3827,40,3086.25,Daily,Wallet Balance,12,55.05,2,128751,Dewasa (45-65)
cust_0039,66,Rural,Low,423,7219.79,24472.25,1873.9,3053969,183,113,4652,7,718.39,Monthly,UPI,8,58.48,5,320041,Senior (>65)
cust_0040,59,Rural,Low,556,11113.27,22824.07,4823.18,6178979,264,144,2960,19,2169.3,Weekly,UPI,9,19.78,5,629633,Dewasa (45-65)
cust_0041,67,Rural,Low,998,14419.3,29301.12,4288.58,14390457,288,318,2256,23,362.76,Weekly,Credit Card,19,43.16,9,1454676,Senior (>65)
cust_0042,18,Rural,Middle,722,5026.95,12077.46,693.11,3629455,275,354,434,26,188.63,Daily,UPI,4,34.93,6,372319,Remaja (<25)
cust_0043,52,Suburban,Middle,36,3150.1,14690.5,597.3,113403,118,211,3123,46,4316.74,Weekly,UPI,5,3.91,2,22027,Dewasa (45-65)
cust_0044,66,Rural,Low,531,5568.29,14288.18,2140.57,2956762,313,191,849,10,3291.67,Weekly,Credit Card,8,63.73,1,297728,Senior (>65)
cust_0045,22,Suburban,Low,91,45.25,193.88,20.75,4117,347,286,106,46,3905.47,Daily,Wallet Balance,10,22.0,7,10271,Remaja (<25)
cust_0046,36,Suburban,Middle,301,2409.06,4310.27,332.63,725126,277,182,2671,22,909.39,Weekly,Wallet Balance,14,67.16,7,86599,Dewasa Muda (25-45)
cust_0047,24,Rural,Middle,724,15019.1,17912.95,6693.8,10873827,132,155,119,21,1610.79,Monthly,Credit Card,5,46.19,10,1098915,Remaja (<25)
cust_0048,54,Rural,Low,917,4463.91,18421.26,1873.18,4093404,147,342,3034,4,2218.96,Weekly,Wallet Balance,16,58.73,6,420698,Dewasa (45-65)
cust_0049,33,Suburban,High,919,19886.05,62989.05,4824.84,18275279,29,192,4809,47,3290.17,Monthly,Wallet Balance,0,33.57,2,1842200,Dewasa Muda (25-45)
cust_0050,19,Suburban,Middle,734,3364.95,10145.01,1264.25,2469874,327,81,1892,33,2674.22,Monthly,Credit Card,8,14.31,8,260734,Remaja (<25)
cust_0051,40,Rural,Middle,217,15777.55,32956.51,2757.61,3423727,320,335,2161,30,2757.29,Daily,Debit Card,17,63.11,4,352316,Dewasa Muda (25-45)
cust_0052,29,Rural,Middle,735,14103.84,18183.63,5999.17,10366321,225,332,3716,46,784.71,Daily,Wallet Balance,20,56.57,7,1055271,Dewasa Muda (25-45)
cust_0053,65,Suburban,Low,923,6449.42,18906.09,2340.72,5952816,139,49,759,36,2373.94,Daily,Credit Card,5,54.57,8,607212,Dewasa (45-65)
cust_0054,24,Suburban,Low,98,6621.48,29590.75,1824.43,648904,289,304,1646,46,4118.99,Weekly,Debit Card,13,16.11,7,77722,Remaja (<25)
cust_0055,41,Suburban,Middle,456,11275.4,16688.58,5026.65,5141580,281,55,4549,25,2547.3,Daily,UPI,1,38.04,3,527482,Dewasa Muda (25-45)
cust_0056,68,Urban,Low,531,17048.96,80414.54,2654.42,9052996,26,336,231,22,998.71,Monthly,Wallet Balance,9,23.91,8,915462,Senior (>65)
cust_0057,17,Suburban,Low,809,7729.88,16224.37,3388.12,6253470,292,67,1594,42,2066.99,Daily,Credit Card,0,44.51,4,635701,Remaja (<25)
cust_0058,35,Urban,Middle,538,1232.99,3857.7,135.08,663346,267,115,561,37,3774.04,Monthly,UPI,17,38.8,8,77269,Dewasa Muda (25-45)
cust_0059,43,Rural,Low,28,7494.64,9488.47,3007.45,209849,286,112,1806,37,674.96,Monthly,UPI,1,13.59,5,32959,Dewasa Muda (25-45)
cust_0060,62,Rural,High,576,4154.18,11217.06,1368.16,2392807,313,159,875,31,2902.32,Weekly,Debit Card,20,45.28,9,251679,Dewasa (45-65)
cust_0061,22,Suburban,Low,324,18784.75,28244.59,7113.58,6086258,97,107,1638,4,4826.57,Monthly,Credit Card,0,3.71,3,612888,Remaja (<25)
cust_0062,59,Rural,Low,223,13948.51,16625.17,3695.49,3110518,138,26,992,24,1901.51,Weekly,Debit Card,14,6.02,2,316485,Dewasa (45-65)
cust_0063,23,Rural,Middle,80,1026.14,4993.46,457.43,82091,281,110,3735,32,218.21,Weekly,UPI,10,13.98,4,22770,Remaja (<25)
cust_0064,62,Rural,Middle,563,5866.84,23000.23,1321.56,3303031,96,66,1556,6,3165.52,Daily,Wallet Balance,1,42.1,2,334432,Dewasa (45-65)
cust_0065,50,Rural,High,458,1013.82,3929.79,212.88,464328,57,205,4353,15,235.52,Weekly,Debit Card,14,54.92,2,58521,Dewasa (45-65)
cust_0066,29,Urban,Low,614,16602.03,22615.27,3664.07,10193648,123,101,4818,48,958.03,Monthly,Credit Card,20,56.56,1,1034321,Dewasa Muda (25-45)
cust_0067,32,Urban,High,176,18126.87,85511.71,7427.4,3190328,231,206,2476,28,241.99,Monthly,Credit Card,13,20.64,8,334663,Dewasa Muda (25-45)
cust_0068,51,Suburban,High,522,2254.47,6488.08,672.09,1176832,290,1,3571,14,853.25,Monthly,UPI,4,28.28,1,126798,Dewasa (45-65)
cust_0069,65,Suburban,Middle,749,8811.4,38850.65,2774.13,6599737,86,224,676,19,4274.66,Monthly,Credit Card,3,17.6,8,669088,Dewasa (45-65)
cust_0070,55,Suburban,Low,457,18638.35,19577.8,8064.11,8517724,310,70,3756,21,3674.26,Monthly,Debit Card,8,3.58,9,868547,Dewasa (45-65)
cust_0071,19,Rural,Middle,423,2912.78,6387.22,1262.24,1232106,51,150,424,9,1709.26,Daily,Debit Card,12,36.15,6,130104,Remaja (<25)
cust_0072,17,Rural,High,100,5845.15,29133.34,962.67,584515,228,215,1600,7,4485.69,Daily,Wallet Balance,2,39.7,7,67108,Remaja (<25)
cust_0073,21,Urban,High,890,6092.45,16518.78,1949.02,5422280,6,310,1340,31,3325.91,Weekly,UPI,10,67.39,6,552345,Remaja (<25)
cust_0074,69,Urban,Middle,740,610.87,2781.87,91.88,452040,310,142,629,27,2238.73,Monthly,UPI,13,51.54,1,49042,Senior (>65)
cust_0075,57,Suburban,Middle,403,735.1,1699.55,328.89,296246,273,14,4229,8,341.66,Monthly,Debit Card,8,67.34,1,39711,Dewasa (45-65)
cust_0076,19,Urban,Middle,576,19056.33,59099.71,8285.74,10976445,344,199,3008,30,3653.61,Weekly,UPI,12,20.84,1,1105833,Remaja (<25)
cust_0077,69,Urban,Middle,380,11426.14,50467.85,5024.53,4341933,2,19,2065,22,1877.63,Daily,Debit Card,1,52.45,3,442584,Senior (>65)
cust_0078,44,Urban,Middle,531,6139.9,21018.61,2345.09,3260286,276,315,4463,18,1514.15,Weekly,Debit Card,17,43.48,7,342997,Dewasa Muda (25-45)
cust_0079,33,Urban,High,332,7579.71,29566.69,2173.49,2516462,91,150,167,31,1441.37,Monthly,Wallet Balance,6,22.07,8,262359,Dewasa Muda (25-45)
cust_0080,41,Urban,Middle,318,14299.71,27388.7,3744.93,4547307,262,262,4005,9,38.55,Daily,Debit Card,2,15.99,1,464621,Dewasa Muda (25-45)
cust_0081,59,Suburban,Low,653,7336.68,11911.55,1893.52,4790851,242,319,4012,19,3713.23,Weekly,Debit Card,6,21.66,6,493152,Dewasa (45-65)
cust_0082,49,Suburban,High,537,4562.93,8766.42,577.14,2450293,246,333,16,34,726.55,Weekly,Wallet Balance,6,70.56,8,256098,Dewasa (45-65)
cust_0083,25,Urban,High,740,2045.73,6080.3,981.03,1513839,79,74,1545,30,2603.22,Monthly,UPI,1,2.65,5,161172,Remaja (<25)
cust_0084,51,Suburban,Low,89,14581.37,61298.03,4084.39,1297742,311,351,1530,10,80.41,Monthly,Debit Card,7,65.24,2,135793,Dewasa (45-65)
cust_0085,29,Rural,Low,604,3619.49,8744.61,1708.57,2186174,304,266,3813,42,3139.42,Daily,Credit Card,10,55.79,4,232873,Dewasa Muda (25-45)
cust_0086,46,Urban,High,511,1402.27,4570.36,633.41,716559,58,293,1497,39,1847.46,Monthly,Wallet Balance,15,39.59,4,81626,Dewasa (45-65)
cust_0087,63,Rural,Middle,42,8544.82,36052.73,3686.61,358882,225,145,542,9,3153.74,Weekly,UPI,7,61.94,4,40295,Dewasa (45-65)
cust_0088,30,Suburban,High,885,801.02,1566.09,268.6,708905,202,133,726,8,449.47,Monthly,Wallet Balance,13,4.69,8,80917,Dewasa Muda (25-45)
cust_0089,23,Suburban,High,807,19300.31,87467.14,2714.06,15575351,6,148,378,41,1331.67,Weekly,Debit Card,4,39.64,6,1567725,Remaja (<25)
cust_0090,29,Rural,Low,926,12549.59,60392.74,2880.94,11620917,30,79,4435,9,551.53,Monthly,UPI,6,21.27,9,1180585,Dewasa Muda (25-45)
cust_0091,38,Suburban,High,389,3062.41,3539.78,1045.61,1191277,151,309,4302,49,3230.35,Daily,Credit Card,9,1.7,10,141016,Dewasa Muda (25-45)
cust_0092,55,Urban,Middle,81,3457.36,4274.83,364.34,280045,36,215,3493,36,542.77,Daily,Wallet Balance,19,44.95,1,39319,Dewasa (45-65)
cust_0093,36,Rural,Low,402,11400.87,15548.95,1334.5,4583150,110,33,3463,36,3085.51,Daily,Credit Card,20,47.7,1,468298,Dewasa Muda (25-45)
cust_0094,31,Urban,High,107,7137.75,29315.26,2648.57,763739,121,194,845,6,673.45,Monthly,Wallet Balance,5,42.95,2,80327,Dewasa Muda (25-45)
cust_0095,60,Rural,High,111,15487.59,27217.09,7051.21,1719122,241,178,3852,19,4716.77,Daily,Debit Card,5,28.73,5,184157,Dewasa (45-65)
cust_0096,33,Suburban,Middle,277,10920.67,42621.02,4827.65,3025026,259,288,4821,19,2081.9,Weekly,Wallet Balance,9,58.1,6,319003,Dewasa Muda (25-45)
cust_0097,62,Rural,High,214,8672.34,23979.94,1450.52,1855881,90,335,673,7,632.95,Monthly,Credit Card,8,25.36,3,190317,Dewasa (45-65)
cust_0098,68,Rural,High,743,19259.98,83684.98,8946.13,14310161,30,201,3520,16,209.05,Daily,Wallet Balance,2,43.88,1,1440551,Senior (>65)
cust_0099,39,Urban,High,818,7820.67,33114.47,2960.29,6397311,237,3,3039,37,1647.11,Monthly,Debit Card,4,71.72,7,655685,Dewasa Muda (25-45)
cust_0100,41,Suburban,High,506,8018.21,38797.33,3099.28,4057215,170,53,2057,24,4456.93,Monthly,Debit Card,16,61.06,1,411007,Dewasa Muda (25-45)
cust_0101,40,Urban,Middle,121,13318.79,26692.87,2951.66,1611573,149,258,4445,12,719.08,Weekly,Wallet Balance,0,46.74,7,177887,Dewasa Muda (25-45)
cust_0102,60,Suburban,High,134,16191.48,31038.36,6256.37,2169657,88,121,737,44,3954.16,Monthly,UPI,9,48.87,9,229862,Dewasa (45-65)
cust_0103,56,Urban,High,818,12528.04,14106.97,4809.63,10247934,4,150,3958,12,2086.86,Monthly,Debit Card,4,60.71,1,1033866,Dewasa (45-65)
cust_0104,44,Rural,High,720,13975.22,36917.84,4721.75,10062157,252,153,4312,47,4014.64,Monthly,Wallet Balance,0,13.48,8,1025532,Dewasa Muda (25-45)
cust_0105,30,Urban,Low,962,7464.9,21172.35,1813.34,7181235,51,217,3449,1,4371.46,Weekly,Debit Card,9,8.82,10,732935,Dewasa Muda (25-45)
cust_0106,60,Suburban,Middle,371,9595.14,46613.73,4072.23,3559797,24,135,1724,36,4989.09,Daily,Debit Card,13,16.68,9,369533,Dewasa (45-65)
cust_0107,16,Suburban,Low,257,3948.73,17070.92,1875.68,1014823,46,256,2653,41,340.99,Daily,Debit Card,15,53.86,8,118717,Remaja (<25)
cust_0108,40,Rural,Low,697,13608.13,22687.02,6095.83,9484864,116,62,1061,41,3981.51,Monthly,Debit Card,17,55.65,1,953717,Dewasa Muda (25-45)
cust_0109,22,Suburban,Middle,798,4436.82,18607.85,874.9,3540585,27,287,4683,10,348.44,Daily,Debit Card,18,3.0,4,368250,Remaja (<25)
cust_0110,24,Urban,Low,954,35.12,60.17,9.77,33507,95,63,1318,19,1573.96,Monthly,Debit Card,13,5.26,10,17099,Remaja (<25)
cust_0111,39,Rural,Low,875,18675.9,24485.24,4425.55,16341416,99,293,829,8,3231.16,Daily,UPI,9,70.69,4,1638984,Dewasa Muda (25-45)
cust_0112,16,Suburban,Low,180,6127.24,26643.29,2346.68,1102904,116,68,3585,44,2236.44,Daily,UPI,7,35.94,1,121742,Remaja (<25)
cust_0113,59,Suburban,Middle,933,3940.67,19324.43,1704.72,3676649,276,225,3221,44,2826.28,Weekly,Debit Card,15,39.05,7,384093,Dewasa (45-65)
cust_0114,23,Urban,High,48,5370.25,7263.13,1000.58,257772,336,335,3384,28,4830.96,Weekly,UPI,10,44.46,7,39929,Remaja (<25)
cust_0115,39,Urban,Middle,599,6615.65,28154.22,3168.3,3962774,95,137,2147,33,4093.28,Weekly,Debit Card,16,69.48,10,411824,Dewasa Muda (25-45)
cust_0116,26,Rural,Middle,897,9496.18,42133.15,3522.43,8518076,199,46,1302,4,1818.35,Daily,Debit Card,12,12.32,9,862902,Dewasa Muda (25-45)
cust_0117,66,Suburban,Middle,19,1396.34,2059.63,261.64,26530,146,95,3075,30,2999.72,Daily,Wallet Balance,4,45.95,8,18303,Senior (>65)
cust_0118,32,Urban,Low,46,1062.94,2267.26,264.07,48895,155,290,4805,25,242.42,Daily,Credit Card,14,6.38,3,19878,Dewasa Muda (25-45)
cust_0119,23,Rural,High,451,5865.29,23077.8,831.95,2645244,270,364,1960,36,2264.49,Daily,UPI,15,37.45,2,272912,Remaja (<25)
cust_0120,50,Suburban,Middle,898,5922.36,25057.06,2006.66,5318283,321,247,1700,43,3041.98,Weekly,Credit Card,9,32.26,10,548007,Dewasa (45-65)
cust_0121,50,Suburban,Middle,56,2361.75,5705.74,396.01,132257,276,316,3020,19,3573.59,Weekly,Debit Card,16,20.04,3,22378,Dewasa (45-65)
cust_0122,48,Rural,High,741,8101.78,13284.64,3056.28,6003421,326,292,1024,7,4507.59,Daily,Wallet Balance,14,32.28,8,608836,Dewasa (45-65)
cust_0123,20,Rural,High,657,5687.73,20438.17,2246.08,3736840,256,214,599,5,1415.29,Daily,Debit Card,7,50.58,6,380674,Remaja (<25)
cust_0124,57,Urban,High,92,530.85,2021.41,154.87,48838,45,256,1441,17,4510.85,Weekly,Debit Card,8,60.71,3,10210,Dewasa (45-65)
cust_0125,54,Suburban,Low,82,17715.56,53402.34,2436.36,1452675,1,48,4105,7,3307.59,Daily,Wallet Balance,8,56.73,2,154523,Dewasa (45-65)
cust_0126,56,Suburban,High,737,17721.52,27995.82,6102.39,13060760,147,93,2422,24,388.23,Monthly,Wallet Balance,10,42.53,1,1314125,Dewasa (45-65)
cust_0127,43,Suburban,Low,79,4191.55,18350.4,1043.2,331132,295,6,645,1,1901.66,Weekly,UPI,8,64.69,8,41552,Dewasa Muda (25-45)
cust_0128,22,Rural,Middle,662,3265.82,11695.1,1567.13,2161970,155,193,1991,27,2382.98,Weekly,Wallet Balance,10,50.26,3,224687,Remaja (<25)
cust_0129,24,Urban,Low,873,10950.38,49021.11,3342.96,9559683,56,103,3196,41,1762.44,Daily,UPI,6,60.52,3,968579,Remaja (<25)
cust_0130,23,Suburban,High,283,12618.76,59710.42,1626.64,3571109,226,74,3372,24,579.7,Monthly,UPI,3,29.27,5,370965,Remaja (<25)
cust_0131,27,Rural,Low,311,19151.28,80871.84,6787.59,5956046,7,74,4747,19,2757.92,Daily,UPI,18,50.58,5,610619,Dewasa Muda (25-45)
cust_0132,49,Suburban,High,997,7553.2,36516.9,3109.96,7530536,20,113,1646,5,658.77,Monthly,Credit Card,8,6.29,9,765516,Dewasa (45-65)
cust_0133,48,Urban,Low,160,12367.82,59576.2,2030.81,1978851,159,152,3141,36,4575.14,Daily,Credit Card,2,68.96,5,210479,Dewasa (45-65)
cust_0134,63,Suburban,Middle,316,17564.84,61079.59,4911.53,5550489,340,263,4319,15,4326.27,Weekly,UPI,18,45.68,7,570023,Dewasa (45-65)
cust_0135,38,Urban,Low,877,9004.58,35232.17,3577.33,7897013,79,86,1754,34,2376.08,Weekly,UPI,12,61.83,7,802421,Dewasa Muda (25-45)
cust_0136,39,Urban,Middle,979,2455.69,9325.82,265.7,2404122,1,58,750,35,338.74,Monthly,Credit Card,15,35.46,7,252242,Dewasa Muda (25-45)
cust_0137,52,Suburban,High,668,7555.17,26326.33,843.07,5046854,336,149,842,0,2761.03,Monthly,UPI,3,3.19,5,509988,Dewasa (45-65)
cust_0138,50,Suburban,Middle,156,2739.97,2952.1,1015.89,427435,229,214,3414,13,2961.18,Daily,Debit Card,9,35.93,3,52390,Dewasa (45-65)
cust_0139,59,Urban,High,888,342.62,830.39,133.64,304249,213,300,3428,13,4442.11,Weekly,Debit Card,2,52.53,7,43359,Dewasa (45-65)
cust_0140,55,Rural,High,714,15033.55,21051.67,6589.92,10733951,283,281,3510,23,337.59,Daily,Wallet Balance,17,5.64,8,1090546,Dewasa (45-65)
cust_0141,37,Urban,Middle,468,4776.09,10512.35,1241.02,2235210,248,95,2303,18,3460.52,Daily,UPI,20,8.12,4,232196,Dewasa Muda (25-45)
cust_0142,42,Suburban,Middle,921,50.12,63.87,12.83,46161,119,208,2714,37,2814.02,Weekly,UPI,10,4.86,6,18337,Dewasa Muda (25-45)
cust_0143,50,Suburban,Low,853,17449.92,81667.84,5600.5,14884784,227,143,1505,43,873.87,Monthly,Debit Card,16,9.51,5,1500351,Dewasa (45-65)
cust_0144,16,Rural,Low,462,8881.34,24914.99,3578.56,4103178,24,83,1427,17,608.67,Weekly,UPI,16,44.62,10,424567,Remaja (<25)
cust_0145,50,Urban,Middle,854,4784.81,8409.1,1705.29,4086226,190,52,3854,8,3469.75,Weekly,Debit Card,11,63.08,2,417395,Dewasa (45-65)
cust_0146,52,Urban,Middle,117,5263.17,17574.35,1215.42,615791,308,17,2742,12,1699.1,Monthly,Debit Card,3,34.44,1,68413,Dewasa (45-65)
cust_0147,62,Urban,Middle,666,4818.35,8604.63,1149.75,3209022,307,218,4071,50,4999.7,Weekly,UPI,7,58.42,6,337544,Dewasa (45-65)
cust_0148,29,Suburban,Middle,364,3899.18,16445.8,1579.95,1419300,57,228,3274,44,4470.02,Monthly,UPI,0,29.3,10,160643,Dewasa Muda (25-45)
cust_0149,18,Urban,High,843,16826.11,37415.83,5281.02,14184412,311,292,2608,50,2828.59,Weekly,Debit Card,20,61.72,6,1433242,Remaja (<25)
cust_0150,16,Rural,Middle,631,3414.93,7716.38,475.33,2154820,309,201,2374,18,3208.66,Monthly,UPI,10,12.19,7,227425,Remaja (<25)
cust_0151,20,Suburban,Middle,711,11241.48,50359.6,1812.1,7992688,89,82,2464,9,794.43,Monthly,UPI,5,41.75,5,809699,Remaja (<25)
cust_0152,41,Suburban,Middle,913,1555.63,5035.29,685.22,1420291,275,128,3805,37,4470.02,Daily,Credit Card,4,37.93,1,152104,Dewasa Muda (25-45)
cust_0153,29,Urban,Middle,466,18990.93,86393.71,9486.38,8849774,109,80,3935,2,2294.67,Weekly,Credit Card,14,8.3,6,897900,Dewasa Muda (25-45)
cust_0154,54,Rural,High,775,12070.24,32004.88,2827.73,9354439,141,189,1383,47,2606.77,Daily,Debit Card,18,17.92,4,945606,Dewasa (45-65)
cust_0155,42,Suburban,Low,184,18064.02,42914.88,4600.56,3323779,285,156,3620,40,4365.65,Weekly,Debit Card,14,35.41,7,348435,Dewasa Muda (25-45)
cust_0156,24,Suburban,Low,960,7963.58,24088.32,1288.47,7645033,244,316,3276,16,31.25,Daily,Wallet Balance,6,55.8,2,774639,Remaja (<25)
cust_0157,30,Urban,Low,660,16215.33,20203.77,3150.4,10702120,74,160,2950,22,2471.73,Daily,Wallet Balance,16,65.24,9,1086076,Dewasa Muda (25-45)
cust_0158,30,Urban,Low,166,17074.55,27606.19,4607.6,2834375,355,242,279,26,3133.83,Daily,Debit Card,20,53.23,7,292028,Dewasa Muda (25-45)
cust_0159,41,Rural,Low,75,14061.96,26409.57,3005.83,1054646,262,314,3978,8,796.55,Daily,Credit Card,0,21.8,5,118822,Dewasa Muda (25-45)
cust_0160,57,Urban,High,748,1868.02,7970.3,710.91,1397278,176,82,2270,4,341.5,Daily,Debit Card,13,8.3,2,146497,Dewasa (45-65)
cust_0161,28,Rural,Low,826,331.44,1304.28,104.45,273770,230,44,2155,18,2674.67,Weekly,Debit Card,18,38.29,1,33149,Dewasa Muda (25-45)
cust_0162,66,Suburban,High,272,3379.51,5992.64,1449.53,919226,76,162,683,28,2737.65,Daily,Credit Card,15,25.45,5,99719,Senior (>65)
cust_0163,47,Rural,High,691,2370.75,4995.16,924.14,1638191,323,221,601,14,1651.25,Daily,Wallet Balance,1,41.0,10,175595,Dewasa (45-65)
cust_0164,54,Rural,Low,503,14505.5,69293.47,2193.82,7296267,183,149,2043,41,4411.16,Weekly,Debit Card,20,29.25,5,740607,Dewasa (45-65)
